"","SampleID","State_unadj","Pseudotime_unadj","State_RIN","Pseudotime_RIN","State_PMI","Pseudotime_PMI","State_PCs","Pseudotime_PCs","State_ALL","Pseudotime_ALL"
"1","01_120405","9",53.3029143940128,"15",59.71183102001,"7",52.0017639315603,"4",55.4551121194064,"7",53.6877775946601
"2","02_120405","2",15.2577057358126,"16",25.1795296783762,"1",1.61643015498733,"6",29.0416215641875,"1",6.8143502423787
"3","03_120405","5",32.5770967803305,"2",19.9757399658241,"3",40.4286468473343,NA,NA,NA,NA
"4","04_120405","1",1.10265673466764,"9",38.651383714309,"1",1.18011119103759,"1",2.29232490511158,"7",34.1775458993306
"5","05_120405","5",33.3097181525783,"2",19.095399712081,"3",40.6995708138275,"4",36.4067463913768,"1",4.48595880541978
"6","101_120418","2",17.5164525038129,"2",19.1940461709517,"4",35.9942963863207,"6",29.4811185645132,"1",4.78565234355437
"7","103_120418","5",33.211542957323,"1",11.1735527104417,"3",40.8502891287007,NA,NA,NA,NA
"8","109_120418","2",17.774053020898,"8",42.1547466788369,"1",1.44845130800177,"6",30.8154163770436,"9",23.2938071858268
"9","11_120410","9",50.6326572178076,"15",41.762703699765,"7",49.5677267506993,"4",51.7425240209528,"8",24.8780863492415
"10","113_120418","2",17.7206285110101,"1",11.7597990306365,"4",35.7377641128984,"6",29.3350490816583,"1",4.25712190445301
"11","115_120418","5",32.9752886668718,"1",10.6107521457255,"3",40.638236271108,"4",42.5107245414904,"8",29.7632522946429
"12","119_120418","3",11.6442232292535,"14",46.7424850399253,"1",11.743224102984,NA,NA,NA,NA
"13","122_120418","2",17.139787486225,"16",25.0443162739824,"4",35.5068046732029,"6",28.8543164521598,"1",9.14746859870698
"14","125_120419","2",18.3886179940147,"1",11.4566343355491,"4",36.8173803720988,"6",30.8222044153023,"1",3.14672053528781
"15","126_120419","5",32.5046945841245,"1",9.36749406505055,"3",40.2680915351004,NA,NA,NA,NA
"16","129_120419","2",13.9555563835398,"4",26.0471553425296,"1",1.82120906077647,NA,NA,NA,NA
"17","131_120419","6",24.9598196546668,"9",31.1557522520435,"3",31.8358229419938,"7",23.9448589549921,"8",26.3554971000097
"18","132_120419","2",18.1559147280183,"2",19.2278984493657,"4",35.9528181416084,NA,NA,NA,NA
"19","134_120419","9",36.8528287086544,"9",33.8301832726519,"7",39.757211141346,"4",38.7250315574731,"8",28.6643509505485
"20","136_120419","3",16.5206117463255,"10",42.6540551727365,"4",34.468230001263,"1",7.18338167213304,"8",23.9633466061074
"21","138_120419","2",18.8170450254503,"2",20.082229045674,"4",36.934613204734,"6",31.039965930814,"1",2.22045603010947
"22","14_120410","9",39.2921823401111,"15",51.6976968847376,"7",36.9995063077329,"3",25.9627832321889,"7",37.0783492862578
"23","145_120419","5",34.259861025151,"2",18.9916632576155,"3",41.6737771653058,"4",51.4929066200956,"1",4.86115638833885
"24","146_120419","1",0.885631997932401,"8",37.8331039571948,"1",0.938606277493413,"1",1.48007932557411,"4",32.5270521942629
"25","149_120419","3",12.894363417327,"8",42.7548515897724,"1",2.21663305826215,"1",2.34554595764235,"4",36.659556858686
"26","150_120419","1",0.839168193814859,"14",46.5577726294197,"1",0.944825737601524,"1",1.6762455143273,"4",26.5709691640684
"27","15_120410","5",42.4004892662044,"1",0,"3",49.8378829258069,"4",57.3534023374093,"7",51.9225088092334
"28","152_120419","8",29.5821029932874,"15",46.4406998949566,"1",13.5238115265216,"3",25.0140609482216,"8",29.0111787293964
"29","154_120423","3",11.5432191357452,"14",46.080131273933,"1",10.573531283088,NA,NA,NA,NA
"30","159_120423","8",29.0010447220155,"8",39.4312232254481,"6",25.3755112293604,"3",25.2527409256284,"4",33.6401979514786
"31","160_120423","8",30.0331499741201,"14",47.9053589608226,"6",26.5414599285553,"1",2.76702347073478,"4",33.1308704098101
"32","164_120423","1",2.42557250990597,"10",42.4987674499836,"1",5.2184059861874,"5",17.2796938705032,"8",29.4199494691585
"33","166_120423","3",17.3518708355963,"9",37.8257855374148,"1",14.4788405889945,"1",9.35375059841634,"8",20.2837441262014
"34","173_120424","9",36.2905162800097,"10",43.5242687790842,"7",38.7037308543212,"4",34.764746519973,"8",30.3721364146365
"35","179_120424","2",18.5976007703253,"2",19.9103684410809,"3",39.8469590144392,"7",25.8048703484506,"1",3.72207992311104
"36","180_120424","2",19.5173133453038,"2",20.6680914257546,"3",39.7711479409825,"6",30.4054406190445,"1",2.87323081093145
"37","181_120424","1",6.53919661371687,"8",39.8625447999435,"1",1.97570725204628,NA,NA,NA,NA
"38","186_120424","5",37.2315624956086,"1",9.09780102565747,"3",45.0098771535556,NA,NA,NA,NA
"39","191_120424","2",18.5084095460147,"2",20.1945640959632,"4",36.6327993256093,NA,NA,NA,NA
"40","193_120424","2",16.3472844784502,"16",26.0327957999331,"4",35.6057022451356,"6",28.3664884229021,"9",19.9815569771266
"41","197_120424","1",2.06473555646272,"8",40.3745425403428,"1",1.8403558268456,"1",2.01462809811377,"4",34.7454503224436
"42","201_120424","9",31.42006317659,"12",43.6741110585033,"7",39.2456238804193,"3",25.2586396139463,"5",26.9080730803284
"43","20_120411","1",2.49316074751489,"9",34.1433921368016,"1",5.3989534789151,"1",2.30504040743659,"8",23.9814613916879
"44","202_120424","8",29.043826507664,"14",46.1655118013281,"6",25.4601706797652,"3",25.511324172917,"7",33.9509582536993
"45","203_120424","9",40.2039376560426,"15",52.3763290653991,"7",41.887950260045,"4",37.1795675315764,"7",46.1071619935414
"46","204_120424","9",36.8995894237959,"9",32.7664310886533,"7",38.9941245608975,"4",38.7232694724477,"8",22.1702704120818
"47","206_120424","1",1.19344693288837,"13",48.2672014546564,"1",1.47638326790602,"3",26.6034406186159,"7",34.0586583335583
"48","212_120424","1",1.23984891450458,"8",39.9360633054793,"1",1.31433082635687,"1",1.78404850574286,"4",34.0987496978382
"49","213_120425","1",0.929595702806509,"8",40.0366127929082,"1",1.03826597657644,NA,NA,NA,NA
"50","214_120425","5",33.2032628836494,"2",19.0029184287365,"3",40.8329980824648,"4",46.3877145334877,"1",4.99542038353202
"51","220_120425","2",13.547363457197,"8",35.758360250288,"1",3.49930705730939,"1",2.69197995692256,"4",32.4144672447796
"52","221_120425","3",17.3624240947029,"10",43.1244973328385,"4",34.362257835284,"4",19.685287792343,"8",29.1751570122113
