"","SampleID","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"1","595_120522",-0.00714894,-0.00218282,0.0076673,0.0123049,-0.00298299,-0.00195204,-0.0128218,-0.0051869,0.00319691,-0.005061,0.0088151,-0.0213278,0.0343184,0.0161248,0.0345233,0.0139756,0.0058327,0.025306,-0.0203544,-0.0124446
"2","515_120515",-0.00790757,-0.00123328,0.0147779,-0.00200808,0.00347752,0.0115958,-0.00124512,0.00389475,-0.00277815,0.0156534,-0.0321392,-0.0418096,-0.0214035,0.00805524,-0.00760173,0.00187271,-0.00500708,0.0106926,0.0139018,0.00358264
"3","630_120524",-0.00704411,-0.00255051,0.00472452,-0.0166137,-0.000309811,0.0106444,-0.00927392,-0.00451417,-0.000545619,-0.00408897,-0.00728209,-0.0394342,0.000695091,-0.00541869,0.0556624,-0.0126141,-0.0252419,0.0377199,0.00146271,-0.0123533
"4","709_120531",-0.00734808,-0.00165538,0.0140563,0.000566308,-0.00454615,0.00700387,0.00119695,-0.00827734,-0.0113054,0.00279804,-0.0196513,-0.00865568,0.0125771,-0.0237814,-0.0353654,0.0636398,-0.0206335,-0.019843,0.0297988,-0.010304
"5","574_120521",-0.00691017,-0.000703951,0.00981125,-0.0448503,-0.00680841,-0.0128494,0.00696233,-0.00328774,-0.00205394,-0.0142469,0.00397159,0.0246697,0.00573217,-0.0142691,-0.00352634,-0.0151853,-0.0180151,-0.000725201,0.00689116,-0.0114773
"6","468_120514",-0.00336615,-0.0031305,-0.0297313,0.00119114,-0.00291691,0.00657118,0.00657561,0.0276709,0.0199485,0.0251159,0.0117167,0.0524822,0.00917803,-0.0206926,0.0724987,0.017633,-0.00453125,0.0343853,-0.00507864,-0.00918864
"7","495_120515",-0.00753827,-0.00174203,0.00362925,-0.00129831,-0.00396169,0.0139204,0.00161984,0.00989658,0.0038031,0.0151607,0.0005199,-0.00774054,-0.00654602,0.0248959,-0.0079047,-0.0144532,0.0135235,-0.00919967,-0.0168264,-0.0139407
"8","360_120502",-0.00691871,-0.00244464,0.000687698,0.00545601,0.000776545,0.0138813,0.00887669,-0.00107659,0.00353818,0.0122191,-0.00511688,4.02272e-05,-0.0106883,0.00151561,-0.0113319,0.0397498,-0.0105254,-0.0169848,0.0286914,-0.014755
"9","582_120521",-0.00779661,-0.00248484,0.00565399,-0.00525528,0.00363902,0.000149343,-0.0169734,0.00169991,0.00474616,0.0159887,-0.00386068,0.0116296,0.00232564,-0.0172329,-0.00218532,-0.00583355,0.00429503,0.0152581,-0.0120549,-0.00451356
"10","678_120604",-0.0074173,-0.00190661,0.00204599,0.0100091,0.006748,-0.00154536,-0.0030097,-0.00215552,0.00299745,0.0135375,-0.0177302,-0.0158618,-0.00127331,-0.0082743,0.0243356,0.0018177,-0.000769661,0.00690097,0.00271499,0.0203034
