"","SampleID","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"1","1005_TCX",-0.00767867,-0.00203699,0.00716755,0.0256879,-0.00214729,5.90095e-05,0.0120985,-0.0190757,-0.0136573,-0.0292245,0.0138867,0.0100106,-0.0161431,-0.00341006,-0.0049384,-0.0120672,0.0133945,-0.00236585,-0.0168095,0.0124464
"2","1019_TCX",-0.00671905,-0.00187344,0.000408946,0.0162788,0.000155407,0.000269962,0.00458639,-0.00649929,0.00584977,-0.00201122,0.0139325,0.00836717,0.0132476,0.000570757,-0.00803473,0.0265559,0.00488404,-0.0226562,0.00440374,-0.0370032
"3","1029_TCX",-0.00674762,-0.0023347,0.00279832,0.00622285,-0.000271061,-0.00746429,-0.000739684,0.0166312,-0.00326265,0.00809357,-0.00855845,0.00423491,0.0199321,-0.0219893,-0.0312678,0.00574371,-0.0224395,0.0341641,-0.0396841,-0.00540473
"4","1034_TCX",-0.00737283,-0.00220261,0.00440058,0.00771785,0.00198981,0.00643314,-0.0115038,0.00747033,0.00711386,-0.00192124,0.00160134,0.0140307,0.0150523,0.000959058,-0.0305128,0.00160588,0.00314237,-0.00274847,0.025632,0.0127501
"5","1045_TCX",-0.00737899,-0.00140524,0.0138339,-0.0136958,0.00636724,-0.00304205,-0.00741477,-0.00164679,-0.00153963,0.00983861,-0.0072967,-0.0320684,0.000662995,0.00487309,-0.0492269,-0.00817329,0.0107891,0.0129696,-0.0204694,-0.00580219
"6","1046_TCX",-0.00324463,-0.00397157,-0.0314391,-0.00197914,-0.0015287,0.0170956,-0.00691467,0.0354902,0.0309833,0.0432849,0.0174754,0.0476905,-0.0177509,-0.004277,0.0519864,0.0308318,0.00948456,0.0432973,-0.0165144,-0.014971
"7","1078_TCX",-0.00693744,-0.00154188,0.0055203,0.0153503,-0.00198664,-0.0111147,-0.00457336,0.00300764,-0.0062494,0.0257678,-0.0140527,0.0098603,0.0178655,-0.0239569,-0.018833,-0.0141637,-0.00121694,-0.00431743,0.0207094,0.0186089
"8","1085_TCX",-0.00750407,-0.00309232,0.00508445,0.0153753,-0.000100193,-0.00298554,-0.00617849,0.0118063,0.00683156,0.0215838,0.001888,-0.001245,0.0175422,0.00802038,-0.0185577,-0.0158224,0.00746749,-0.0178302,-0.0261657,-0.00468097
"9","1089_TCX",-0.00731712,-0.00168384,0.00664404,0.0252837,-0.00336552,-0.012163,0.00631505,-0.0160183,-0.00257544,-0.0158606,0.00847896,0.0251789,0.00438956,-0.0117037,-0.00668004,0.00102733,0.0125746,-0.00670775,0.0132611,0.00467875
"10","1098_TCX",-0.00751118,-0.00222429,0.00964442,0.0188395,0.00121581,0.0067843,-0.00131103,-0.0133305,-0.00957003,0.00124812,-0.000865787,-0.00758892,-0.022499,-0.00770935,0.00179833,-0.0122155,-0.0259092,0.0169751,-0.00760554,0.0121193
"11","1104_TCX",-0.00694672,-0.00188359,0.00437622,0.00829831,0.0061939,0.00116788,0.00631855,-0.00159354,-0.00553661,0.00300259,0.000831615,0.00186338,0.00442576,-0.0206862,-0.00435699,-0.0218626,-0.0264999,-0.0139253,0.00101744,0.00531378
"12","1105_TCX",-0.00695337,-0.00196942,0.00534526,0.0126117,0.00449143,-0.00173885,-0.00520085,0.0108809,0.00547552,0.00470869,0.00477626,-0.00382112,0.00484383,0.0131376,-0.0220421,0.00499063,-0.00375011,-0.00318593,-0.00499019,0.00138792
"13","1119_TCX",-0.00684366,-0.00120162,0.00613443,-0.0347792,-0.002948,0.00498069,-0.000349869,0.00253452,-0.00033415,-0.0115987,0.00134777,-0.0685817,0.0223639,-0.0112673,0.0454305,-0.010885,-0.0393882,0.0167497,-0.00504072,0.00569124
"14","1121_TCX",-0.0072446,-0.00171216,0.00276842,-0.012582,-0.00114066,-0.00358649,0.00669152,0.00252248,0.00908389,0.00329755,-0.00136348,-0.00564492,-0.0199166,0.00261067,-0.00765367,0.00312167,0.000272872,0.0203728,0.0233823,-0.0199964
"15","1123_TCX",-0.00722316,-0.00160013,0.0151181,-0.0109338,-0.000458799,0.0105922,0.00389081,0.00193763,-0.00296187,0.007297,-0.0148179,-0.038887,-0.00172494,-0.0121797,-0.0161818,-0.0272589,-0.0115688,-0.00811321,-0.0198388,-0.00945295
"16","11249_TCX",-0.00655555,-0.0025544,0.000718098,0.00978757,-0.000262685,0.00241151,-0.00301038,0.00837444,-0.00408455,0.00158874,0.00204146,0.0256255,0.00762139,-0.0171003,9.69097e-05,-0.0135559,0.00729794,0.0292259,-0.00245615,0.00455145
"17","11253_TCX",-0.00686773,-0.00198905,0.0030983,0.00265202,0.00398861,0.00384419,-0.00511565,0.0137593,0.00338531,0.0172709,-0.0251944,-0.0366046,0.00111045,-0.00505253,0.0110987,-0.0078499,0.00649177,0.00585945,0.0311693,-0.00699095
"18","11254_TCX",-0.0066522,-0.00110201,0.00792564,-0.0254125,-0.0025008,-0.00891661,0.00215402,-0.00789183,0.00381499,-0.00345533,0.0174469,-0.00228981,0.00699392,0.00261053,-0.0154906,-0.0261616,0.00224288,-0.00799496,0.000412244,-0.00438281
"19","11255_TCX",-0.00789199,-0.00187084,0.00684125,0.0151938,-0.000109883,-0.000448792,0.0141941,-0.00754113,0.00263051,-0.00451019,-0.0042501,0.0166627,0.00893887,-0.00729718,-0.00118765,0.0351769,-0.0209537,-0.0475631,-0.0154935,-0.00534342
"20","11258_TCX",-0.00698474,-0.00123575,0.0147609,0.0037563,0.00144773,0.0025468,0.00352002,0.00273281,0.0019348,0.0215774,-0.0209318,-0.0285444,0.0196401,-0.0117485,-0.0341364,0.0173395,-6.13564e-05,0.00785198,-0.015829,-0.00409213
"21","11259_TCX",-0.00666221,-0.00186683,0.00370862,0.00405479,-0.000618561,0.00562922,-0.00165097,0.00398204,-0.00313224,0.00776677,-0.0015924,0.000223909,0.0123872,0.0165985,-0.00471237,0.00168751,0.0162662,-0.0247668,-0.0194674,0.0164894
"22","11263_TCX",-0.00653798,-0.00209558,0.000583589,-0.0103601,0.00228474,2.1462e-05,-0.00899021,0.0133567,0.00437823,-0.00213732,-0.00779722,-0.012741,0.0275078,-0.008557,-0.0153358,-0.0082769,0.00844569,-0.0394328,-0.015125,0.0062189
"23","11264_TCX",-0.00721508,-0.00178122,0.00733344,0.00621933,0.00282403,0.0115356,-0.0129097,0.000748797,-0.00733971,0.00675812,0.0031358,-0.000816037,0.0042572,0.0183508,-0.019945,0.00652285,-0.00387578,-0.00770723,-0.0023614,0.0128613
"24","11265_TCX",-0.00682684,-0.00145395,0.00529487,0.0135311,-0.000970209,0.00946794,-0.00382056,0.00524052,0.000693909,0.0176117,0.00793732,-0.00371587,-0.0223566,-0.00393304,-0.0240011,0.00456771,0.0180245,-0.0104397,0.00822486,-0.00036828
"25","11266_TCX",-0.00676018,-0.00304084,0.00356089,0.0112916,-0.000820127,0.00334719,-0.0069716,0.0121972,-0.00884869,0.0125758,0.00107373,-0.014437,0.00692393,0.0277524,-0.00646767,-0.00125596,-0.0381815,0.01831,-0.00185585,0.0268651
"26","11267_TCX",-0.00685086,-0.00234378,-0.00210737,0.00531598,-0.000411814,-0.00274432,-0.00235421,0.00622296,0.00186387,0.0107078,-0.0102785,-0.0236519,0.00985037,-0.00874245,0.0427941,-0.0166149,-0.0138033,-0.0225695,-0.008659,-0.0179726
"27","11271_TCX",-0.00731353,-0.00133937,0.00756537,0.0233695,0.000298638,0.00651887,-0.0160148,-0.0160783,0.00241496,0.00985963,0.0106941,-0.018842,-0.0263817,0.0122085,-0.00813578,-0.0134209,0.0304483,0.00705587,0.00719457,-0.0230068
"28","11275_TCX",-0.00716667,-0.00253328,0.0103226,0.0322469,-0.00516819,0.000103485,0.00659669,-0.0106822,-0.0132227,-0.0315483,0.00583461,-0.0399016,0.00302909,0.0336985,0.0233492,-0.00102015,-0.00798503,0.0393754,-0.0175309,-0.0202477
"29","11276_TCX",-0.00705155,-0.00309588,0.00743232,0.00294329,-0.00035661,0.00119333,-0.00204415,0.00705021,-0.00600133,0.0155407,-0.00500917,0.00149517,-0.00112201,0.00702956,-0.00887884,0.00463852,0.000295859,0.0117391,0.0144658,0.00561524
"30","11279_TCX",-0.00650467,-0.00246761,-0.00241038,0.00410023,0.00620942,-0.00648497,-0.00239832,0.00945513,0.00168158,0.0269132,-0.00860435,0.00425379,0.00978827,-0.00306325,0.00868644,0.00800764,0.00838471,-0.00153943,0.0252928,-0.014602
"31","11281_TCX",-0.00640396,-0.0016288,0.00289167,0.00158401,0.00691338,0.018463,0.00227565,0.00443267,0.00367148,0.0121057,0.00295073,-0.00716426,-0.0167531,0.0315042,-0.00851506,0.0389674,-0.015385,-0.0231908,0.00138908,0.0154721
"32","11285_TCX",-0.00710762,-0.00198538,0.00887959,0.00606239,0.00120901,-0.00158327,-0.00310785,0.000290696,-0.00834408,0.013341,-0.00506643,-0.0278694,-0.0226262,0.00191322,0.0225025,0.0251146,-0.00483288,-0.0238944,6.45011e-05,-0.0125905
"33","11287_TCX",-0.00735892,-0.00221919,0.00329102,0.00513682,0.00147465,-0.0109176,0.000799842,0.00292389,-0.000864393,0.00917223,-0.00469085,0.0121296,0.00654557,-0.0124174,-0.00681463,0.00169735,0.0205152,-0.00275421,0.0154042,-0.00399573
"34","11288_TCX",-0.00710427,-0.00250507,-0.00110108,0.00251979,-0.00163415,0.000350844,-0.00499807,0.004909,-0.00867319,0.00859,0.000111731,-0.00232953,-0.0253081,0.00674491,-0.00980368,0.0384856,-0.0121316,-0.0282185,0.0213816,-0.00242128
